Date	P	T	Q	Q_predicted_CatBoost	nse_score_Catboost
2060-08-04	0.0	23.56	0.21	0.37390024771410396	0.8515044539707257
2060-08-05	1.6	24.0	0.2	0.37390024771410396	0.8515044539707257
2060-08-06	13.38	21.24	0.29	0.4466694249069362	0.8515044539707257
2060-08-07	0.36	20.79	0.69	1.0301804816855324	0.8515044539707257
2060-08-08	2.55	18.25	0.32	0.5726784995482879	0.8515044539707257
2060-08-09	0.0	19.68	0.24	0.48667496960751266	0.8515044539707257
2060-08-10	1.33	22.66	0.23	0.537301660939187	0.8515044539707257
2060-08-11	0.52	22.98	0.2	0.3987993533378441	0.8515044539707257
2060-08-12	9.95	21.39	0.22	0.40414185894960114	0.8515044539707257
2060-08-13	18.95	20.04	0.71	1.082399030614393	0.8515044539707257
2060-08-14	0.0	20.6	0.6	2.0594666268965804	0.8515044539707257
2060-08-15	0.04	19.42	0.27	0.6924921506533201	0.8515044539707257
2060-08-16	0.0	19.48	0.23	0.5113909827813188	0.8515044539707257
2060-08-17	0.0	19.71	0.23	0.5186024449620399	0.8515044539707257
2060-08-18	2.44	21.01	0.2	0.41561608733504984	0.8515044539707257
2060-08-19	1.07	20.79	0.44	0.4066595158986077	0.8515044539707257
2060-08-20	0.21	21.47	0.26	0.39918038235658776	0.8515044539707257
2060-08-21	0.0	22.48	0.22	0.3986756878787764	0.8515044539707257
2060-08-22	11.77	23.23	0.21	0.39518047760332053	0.8515044539707257
2060-08-23	2.54	19.92	0.63	0.947406295744434	0.8515044539707257
2060-08-24	2.51	20.17	0.38	0.5071948172541572	0.8515044539707257
2060-08-25	0.34	20.22	0.27	0.4371073654015557	0.8515044539707257
2060-08-26	26.17	18.75	0.21	1.0662442026626733	0.8515044539707257
2060-08-27	10.48	13.31	1.93	2.838461727946261	0.8515044539707257
2060-08-28	10.03	12.69	1.58	1.5853879179635553	0.8515044539707257
2060-08-29	1.96	12.25	1.17	1.4484774134082816	0.8515044539707257
2060-08-30	0.67	11.9	0.66	0.8280349456284626	0.8515044539707257
2060-08-31	0.02	13.16	0.48	0.6182323173301262	0.8515044539707257
2060-09-01	0.0	16.0	0.39	0.6476987033903081	0.8515044539707257
2060-09-02	6.09	15.06	0.48	0.6177739504499136	0.8515044539707257
2060-09-03	1.51	12.52	0.61	0.9361020218066141	0.8515044539707257
2060-09-04	0.13	13.15	0.37	0.7049884005205639	0.8515044539707257
2060-09-05	0.02	15.99	0.28	0.42146417754233684	0.8515044539707257
2060-09-06	2.03	15.96	0.27	0.4182921884224647	0.8515044539707257
2060-09-07	1.15	16.36	0.28	0.48877345712832376	0.8515044539707257
2060-09-08	0.17	16.08	0.25	0.42615533528243504	0.8515044539707257
2060-09-09	0.0	14.74	0.24	0.38451596868790355	0.8515044539707257
2060-09-10	0.22	17.27	0.22	0.39428875226516336	0.8515044539707257
2060-09-11	5.01	18.55	0.24	0.3899961084464124	0.8515044539707257
2060-09-12	11.2	15.42	0.52	0.7501084018230292	0.8515044539707257
2060-09-13	3.89	14.2	0.78	1.1914810298468015	0.8515044539707257
2060-09-14	0.2	13.83	0.53	0.8415592141652549	0.8515044539707257
2060-09-15	3.52	15.29	0.37	0.635466795387414	0.8515044539707257
2060-09-16	0.0	16.0	0.45	0.6104183998150858	0.8515044539707257
2060-09-17	0.0	15.35	0.36	0.7698729263296867	0.8515044539707257
2060-09-18	2.25	15.46	0.3	0.47704573359647784	0.8515044539707257
2060-09-19	8.01	14.8	0.32	0.4421239092408097	0.8515044539707257
2060-09-20	7.58	13.48	0.9	0.8972674086777358	0.8515044539707257
2060-09-21	0.0	12.74	0.79	1.0557132279082364	0.8515044539707257
2060-09-22	0.0	13.21	0.49	0.6716804706164758	0.8515044539707257
2060-09-23	3.28	13.33	0.39	0.4671987137417052	0.8515044539707257
2060-09-24	1.41	12.48	0.57	0.6013255722655997	0.8515044539707257
2060-09-25	0.0	13.05	0.39	0.673364399645079	0.8515044539707257
2060-09-26	15.26	14.54	0.5	0.5627829369131758	0.8515044539707257
2060-09-27	0.79	11.82	1.33	2.3650469564923506	0.8515044539707257
2060-09-28	0.02	9.73	0.77	1.1421538480157571	0.8515044539707257
2060-09-29	0.0	8.78	0.52	0.6718226400405009	0.8515044539707257
2060-09-30	0.8	12.12	0.45	0.7644496716863436	0.8515044539707257
2060-10-01	0.0	15.95	0.4	0.6283827313802234	0.8515044539707257
2060-10-02	0.19	15.65	0.37	0.6041964690713171	0.8515044539707257
2060-10-03	0.02	17.88	0.34	0.4814039255652219	0.8515044539707257
2060-10-04	0.0	17.91	0.32	0.5010945005396312	0.8515044539707257
2060-10-05	0.0	17.18	0.3	0.42733464282885353	0.8515044539707257
2060-10-06	0.04	15.81	0.28	0.3946262508789551	0.8515044539707257
2060-10-07	0.09	15.95	0.27	0.40324490827393145	0.8515044539707257
2060-10-08	0.21	14.96	0.28	0.3877949972972762	0.8515044539707257
2060-10-09	0.2	15.88	0.28	0.391213049054406	0.8515044539707257
2060-10-10	0.28	15.48	0.27	0.391213049054406	0.8515044539707257
2060-10-11	0.22	15.13	0.26	0.391213049054406	0.8515044539707257
2060-10-12	0.05	16.16	0.25	0.3983084669382187	0.8515044539707257
2060-10-13	0.0	15.26	0.24	0.391213049054406	0.8515044539707257
2060-10-14	0.07	15.08	0.23	0.4027336582508467	0.8515044539707257
2060-10-15	0.02	14.58	0.23	0.40054749893556335	0.8515044539707257
2060-10-16	0.04	14.36	0.24	0.391213049054406	0.8515044539707257
2060-10-17	0.03	14.05	0.22	0.41361265541552295	0.8515044539707257
2060-10-18	0.0	15.86	0.23	0.4267217203179519	0.8515044539707257
2060-10-19	0.0	13.13	0.23	0.39904602176863924	0.8515044539707257
2060-10-20	0.0	10.89	0.22	0.38016951535225463	0.8515044539707257
2060-10-21	0.0	9.74	0.21	0.37390024771410396	0.8515044539707257
2060-10-22	0.02	10.38	0.22	0.40040792197445524	0.8515044539707257
2060-10-23	0.07	10.51	0.22	0.4145050210639888	0.8515044539707257
2060-10-24	0.17	11.37	0.22	0.44224667205294405	0.8515044539707257
2060-10-25	0.02	11.74	0.22	0.4745099471382169	0.8515044539707257
2060-10-26	0.69	12.88	0.21	0.48119013296836083	0.8515044539707257
2060-10-27	3.23	15.12	0.21	0.4770058649558888	0.8515044539707257
2060-10-28	1.91	14.62	0.31	0.5842649462521653	0.8515044539707257
2060-10-29	4.42	15.13	0.27	0.626464518751349	0.8515044539707257
2060-10-30	0.0	14.33	0.28	0.6362810054938682	0.8515044539707257
2060-10-31	10.99	12.61	0.29	0.8610255109939999	0.8515044539707257
2060-11-01	0.7	7.96	0.76	1.6435223239340808	0.8515044539707257
2060-11-02	6.85	7.96	0.41	1.023874724680622	0.8515044539707257
2060-11-03	1.0	2.13	0.57	1.8252945899726796	0.8515044539707257
2060-11-04	0.0	1.6	0.34	1.1949140071095283	0.8515044539707257
2060-11-05	0.0	1.54	0.3	0.917677149522957	0.8515044539707257
2060-11-06	0.0	4.1	0.27	0.9025489449426936	0.8515044539707257
2060-11-07	0.0	6.44	0.28	0.8461083539175434	0.8515044539707257
2060-11-08	0.0	5.68	0.26	0.7157448668722693	0.8515044539707257
2060-11-09	0.0	6.49	0.26	0.6602157019548132	0.8515044539707257
2060-11-10	0.0	9.7	0.26	0.6604498236424894	0.8515044539707257
2060-11-11	0.0	7.69	0.24	0.5611784354762452	0.8515044539707257
2060-11-12	2.06	8.58	0.24	0.5672788229352682	0.8515044539707257
2060-11-13	0.25	10.63	0.28	0.5111654631047308	0.8515044539707257
2060-11-14	3.09	9.48	0.24	0.5487240110306055	0.8515044539707257
2060-11-15	45.11	11.67	2.62	1.7986257272541208	0.8515044539707257
2060-11-16	15.62	9.3	10.05	11.535186857142858	0.8515044539707257
2060-11-17	4.46	1.91	4.95	4.528561321499401	0.8515044539707257
2060-11-18	3.09	1.35	2.63	3.1431154908613594	0.8515044539707257
2060-11-19	0.65	3.47	2.46	2.477009980974476	0.8515044539707257
2060-11-20	0.0	-0.08	2.15	1.6331196013863365	0.8515044539707257
2060-11-21	0.0	1.81	1.43	1.3880208356151709	0.8515044539707257
2060-11-22	0.0	4.65	1.12	1.2582451755803028	0.8515044539707257
2060-11-23	0.02	5.52	0.97	1.0610813724001575	0.8515044539707257
2060-11-24	0.07	4.17	0.83	1.1784841265333943	0.8515044539707257
2060-11-25	0.02	3.67	0.73	0.8787993162351461	0.8515044539707257
2060-11-26	1.37	3.13	0.64	0.810134662037779	0.8515044539707257
2060-11-27	8.72	6.01	0.94	0.7452816674423628	0.8515044539707257
2060-11-28	0.0	7.18	1.44	1.8686486942113127	0.8515044539707257
2060-11-29	0.0	5.87	1.12	1.353110356047359	0.8515044539707257
2060-11-30	0.0	4.16	0.91	0.9843057151847914	0.8515044539707257
2060-12-01	0.02	4.31	0.78	1.0501818194661892	0.8515044539707257
2060-12-02	1.1	4.67	0.69	1.0310361262424985	0.8515044539707257
2060-12-03	0.0	2.68	0.66	0.8344630516572238	0.8515044539707257
2060-12-04	0.0	1.22	0.58	0.7556885309669117	0.8515044539707257
2060-12-05	0.0	0.55	0.51	0.665118147145433	0.8515044539707257
2060-12-06	0.0	-0.34	0.47	0.7249616510557941	0.8515044539707257
2060-12-07	0.0	0.24	0.43	0.798693489869861	0.8515044539707257
2060-12-08	0.0	0.38	0.4	0.7402307801684171	0.8515044539707257
2060-12-09	0.0	0.11	0.37	0.6982620991359972	0.8515044539707257
2060-12-10	0.67	1.03	0.38	0.6398046466057921	0.8515044539707257
2060-12-11	0.88	2.08	0.41	0.6621943054271211	0.8515044539707257
2060-12-12	0.36	0.57	0.38	0.6579994723562483	0.8515044539707257
2060-12-13	2.24	-1.07	0.36	0.6712175735354902	0.8515044539707257
2060-12-14	0.0	-1.45	0.35	0.6945476110542913	0.8515044539707257
2060-12-15	0.0	0.68	0.34	0.7456333408556438	0.8515044539707257
2060-12-16	4.08	1.26	0.34	0.7686613105676192	0.8515044539707257
2060-12-17	8.4	4.27	1.41	1.262882744658556	0.8515044539707257
2060-12-18	0.0	3.83	1.9	2.7056956533711185	0.8515044539707257
2060-12-19	21.98	6.06	1.57	1.9799087424118476	0.8515044539707257
2060-12-20	7.8	6.18	7.17	7.307788517927577	0.8515044539707257
2060-12-21	5.66	7.66	4.46	4.51957044487478	0.8515044539707257
2060-12-22	2.08	11.7	3.4	3.4957453933447864	0.8515044539707257
2060-12-23	46.21	10.63	3.62	3.9457879021656437	0.8515044539707257
2060-12-24	32.98	7.42	33.0	24.374686071428577	0.8515044539707257
2060-12-25	16.8	1.85	14.49	15.93227101190476	0.8515044539707257
2060-12-26	0.45	-0.42	6.53	5.757020970725688	0.8515044539707257
2060-12-27	0.0	-3.53	4.19	3.362778596089388	0.8515044539707257
2060-12-28	0.56	-3.84	3.08	2.05593875969387	0.8515044539707257
2060-12-29	0.91	-1.36	2.52	1.5246146600016957	0.8515044539707257
2060-12-30	1.18	0.83	2.18	1.2212714855023996	0.8515044539707257
2060-12-31	0.31	3.16	2.1	1.2047708952827905	0.8515044539707257
